title,singers,directors,lyricist,genre,album,download_link,poster,year
Tu Chandni Si Hoobahoo,['Vishal Mishra'],['Vishal Mishra'],"['Vishal Mishra', ' Kaushal Kishore']",['Pop'],Chandni,https://www.youtube.com/watch?v=OttE5KJ3aM4,https://is4-ssl.mzstatic.com/image/thumb/Music112/v4/a4/31/fe/a431fe33-91ea-198a-5701-d71d4cb5acb8/22UM1IM41745.rgb.jpg/200x200.jpg,2022
Gaya Gaya Gaya Yeh Dil Gaya,"['Rupali Moghe', ' Shashwat Singh']",['Amit Trivedi'],['Swanand Kirkire'],['Filmi'],Chup,https://www.youtube.com/watch?v=6LES53tYdig,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/db/8f/7a/db8f7a2c-216d-373e-3978-ff7acb0f73c5/197186926696.jpg/200x200.jpg,2022
Mera Love Main,['Amit Trivedi'],['Amit Trivedi'],['Swanand Kirkire'],"['Filmi', ' Pop', ' Electronic']",Chup,https://www.youtube.com/watch?v=sqnYp98DSyM,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/db/8f/7a/db8f7a2c-216d-373e-3978-ff7acb0f73c5/197186926696.jpg/200x200.jpg,2022
Yeh Duniya Agar Mil Bhi Jaye,['Sneha Shankar'],"['S.D. Burman', ' Sneha Khanwalkar']","['Sahir Ludhianvi', ' Swanand Kirkire']",['Filmi'],Chup,https://www.youtube.com/watch?v=9vvYng841h8,https://is3-ssl.mzstatic.com/image/thumb/Music112/v4/db/8f/7a/db8f7a2c-216d-373e-3978-ff7acb0f73c5/197186926696.jpg/200x200.jpg,2022
Moonlight Sonata,,"['Ludvig Van Beethoven', ' Clinton Cerejo']",,[''],Cobalt Blue,,,2022
Secret Garden,['Anubha Kaul'],['Clinton Cerejo'],['Asif Ali Beg'],[''],Cobalt Blue,,,2022
Blue Is The Night,"[""Marianne D'Cruz""]",['Clinton Cerejo'],,[''],Cobalt Blue,,,2022
Aawade Hey Roop,['Aarti Thakur Kundalkar'],"['Sant Tukaram', ' Suyog Kundalkar']",['Sant Tukaram'],[''],Cobalt Blue,,,2022
Shree Hanuman Stuti,['Aparna Kelkar'],['Suyog Kundalkar'],['Traditional'],[''],Cobalt Blue,,,2022
Sansar Pandhari Aamhi Varkari,['Shahir Rangrao Salunke'],,,[''],Cobalt Blue,,,2022
Ki Kariye,"['Harrdy Sandhu', ' Sakshi Holkar', ' Sanj V']",['Jaidev Kumar'],['Kumaar'],"['Filmi', ' Punjabi Folk']",Code Name: Tiranga,https://www.youtube.com/watch?v=puvP8t7zIv4,https://is2-ssl.mzstatic.com/image/thumb/Music112/v4/8a/ab/44/8aab44a2-5d8b-16b1-0213-d6417a3681ed/8902894361750_cover.jpg/200x200.jpg,2022
